SOIL_ID,SNAM
9397,9397
9402,9402
9405,9405
9416,9416
9417,9417
9420,9420
9475,9475
9498,9498
9530,9530
9532,9532
9562,9562
9586,9586
9673,9673
9674,9674
9676,9676
9677,9677
9680,9680
9681,9681
9682,9682
9686,9686
9690,9690
9692,9692
9694,9694
9697,9697
9699,9699
9700,9700
9701,9701
9702,9702
9703,9703
9704,9704
9705,9705
9706,9706
9707,9707
9708,9708
9710,9710
9712,9712
9713,9713
9719,9719
9725,9725
9726,9726
9728,9728
9729,9729
9730,9730
9732,9732
9733,9733
9734,9734
9735,9735
9737,9737
9738,9738
9739,9739
9740,9740
9741,9741
9742,9742
7001,7001
7003,7003
