ID,NAME,LAT,LONG,ELEVATION
1,pAbadesses,42.22166429,2.243255294,725
2,pAbella,42.18099352,1.160392951,1307
3,pAbrera,41.51074567,1.917310383,58
4,pAger,42.05176672,0.73911934,1481
5,pAitona,41.48697148,0.460210126,97
6,pAlbesa,41.76006848,0.671002705,261
7,pAlcanar,40.5571563,0.523268672,22
8,pAlcarras,41.57167006,0.551220041,132
9,pAldea,40.76952965,0.616218846,64
10,pAlgerri,41.80012155,0.648597542,299
11,pAlgerri2,41.81972281,0.588440568,304
12,pAlguaire,41.74279068,0.535742689,371
13,pAltAneu,42.64664121,0.983623976,2239
14,pAmetllaMar,40.90912966,0.764308144,96
15,pAmposta,40.70575044,0.629030058,2
16,pAngles,41.96012025,2.63176987,150
17,pAnglesola,41.69007955,1.043695096,290
18,pArbucies,41.8400619,2.418776362,956
19,pArnes,40.90496187,0.260707232,523
20,pArres,42.77026914,0.732721176,2243
21,pArtes,41.79243991,1.935570375,278
22,pArtesadeSegre,41.91598819,1.045369955,362
23,pAsco,41.19638454,0.512204068,249
24,pAsco2,41.18774416,0.569403169,47
25,pBadalona,41.46681186,2.244709968,78
26,pBaells,42.12201452,1.878559556,616
27,pBanyoles,42.11366986,2.791581201,162
28,pBarcelona1,41.38381697,2.167668758,13
29,pBarcelona2,41.41858513,2.123895211,411
30,pBarcelona3,41.37920641,2.105421052,82
31,pBaserca,42.57792599,0.759469481,1409
32,pBatea,41.08672929,0.318925381,384
33,pBatea2,41.10955301,0.210905383,218
34,pBegues,41.28853959,1.908476795,570
35,pBenissanet,41.06278121,0.634691922,32
36,pBerga,42.10721975,1.827465851,1135
37,pBisbalEmporda,41.97742178,3.035354374,30
38,pBisbalEmporda2,41.96458629,3.03821947,29
39,pBisbalPenedes,41.27319906,1.468812853,181
40,pBlancafort,41.43651336,1.16048732,426
41,pBoi,42.04109412,2.119346323,773
42,pBot,41.01062082,0.384297735,291
43,pBotarell,41.13742466,1.024231866,148
44,pCabanes,42.3063787,2.954828468,31
45,pCabrils,41.51751699,2.377472408,79
46,pCaldes,41.61261678,2.168274635,176
47,pCamarasa,41.91780346,0.8816943,669
48,pCampllong,41.89797976,2.818842216,96
49,pCanelles,41.97922606,0.611202479,534
50,pCardona,41.92066622,1.696075185,395
51,pCarles,40.62679355,0.662328005,1
52,pCassa,41.87477182,2.927162998,181
53,pCastell,41.80901302,3.031746298,14
54,pCastellbell,41.64656164,1.858396556,147
55,pCastellbisbal,41.47887927,1.975463497,145
56,pCastelldans,41.52913852,0.752983885,228
57,pCastellnou,42.40449518,0.913631237,1517
58,pCastellnouBages,41.83087346,1.847094854,506
59,pCastellnouSeana,41.65677414,0.951749892,263
60,pCastelloEmpuries,42.23817973,3.095372489,4
61,pCeloni,41.68034122,2.488976096,133
62,pCerdanyola,41.48405069,2.12742192,84
63,pCervera,41.6757222,1.295806637,557
64,pCervera2,41.68134099,1.293892245,588
65,pClariana,41.953766,1.585108748,692
66,pColomers,42.07686002,2.991162733,18
67,pComa,42.18524458,1.525707241,2296
68,pConstanti,41.17047513,1.169917801,108
69,pCornudella,41.23564094,0.882483431,378
70,pCristina,41.81813956,2.979121769,35
71,pCruilles,41.97729208,2.996958251,58
72,pCunit,41.20185982,1.633426797,17
73,pDarniusBoadella,42.34058878,2.833225165,155
74,pDas,42.3878125,1.867668594,1097
75,pDespi,41.35181064,2.046600124,7
76,pDosrius,41.61991606,2.445148514,457
77,pEmbCamarasa,41.90830449,0.887204863,335
78,pEmbPortbou,42.42580311,3.125134912,120
79,pEmbRibaroja,41.24285386,0.431195982,54
80,pEmbSusqueda,41.97907524,2.527357457,348
81,pEmbTalarn,42.1784905,0.914166409,513
82,pEspluga,41.39315529,1.099095071,440
83,pEspolla,42.38456053,3.007033775,84
84,pEsponella,42.17758312,2.798648637,91
85,pEspot,42.53523366,1.050531936,2545
86,pFalset,41.15348076,0.81988532,356
87,pFarners,41.86488356,2.66445218,165
88,pFlix,41.23412803,0.546423293,42
89,pFogarsSelva,41.73895835,2.693885954,36
90,pFoix,41.25561732,1.651034658,99
91,pFontrubi,41.43266407,1.624227982,410
92,pFornells,41.91477887,2.819735293,96
93,pGimenells,41.65711122,0.391986377,260
94,pGirona,41.96746381,2.811283666,81
95,pGirona2,41.9750595,2.824550321,65
96,pGisclareny,42.26476292,1.762143999,1388
97,pGolmes,41.63635404,0.924519614,260
98,pGramenet,41.4505976,2.200589117,12
99,pGranadella,41.36000487,0.667601735,505
100,pGuardiolaBergueda,42.23412339,1.874831612,787
101,pGuardiolaBergueda2,42.21438557,1.869705979,690
102,pGuiamets,41.09950864,0.752348699,191
103,pGurb,41.95226574,2.232755939,509
104,pHorta,40.95433376,0.309085875,502
105,pHostalets,41.53139597,1.807717573,312
106,pIsona,42.13932006,1.038997965,690
107,pIsona2,42.07222637,1.100053286,1237
108,pIsovol,42.37235809,1.813327693,1031
109,pJaumeE,40.70734383,0.83424695,1
110,pLlacuna,41.47945684,1.535278491,589
111,pLladorre,42.70042669,1.272091678,2402
112,pLladurs,42.0884068,1.4284066,775
113,pLleida,41.59989495,0.645541422,161
114,pLleida2,41.68345424,0.460723172,290
115,pLlogaia,42.2377829,2.969057765,29
116,pLlorenc,41.68135426,2.026600704,529
117,pLlosa,42.09978497,1.58285827,760
118,pMaials,41.35809638,0.483076968,355
