ID,NAME,LAT,LONG,ELEVATION
1,hAger,42.05176672,0.73911934,1481
2,hAitona,41.48697148,0.460210126,97
3,hAlbesa,41.76006848,0.671002705,261
4,hAlcanar,40.5571563,0.523268672,22
5,hAlcarras,41.57167006,0.551220041,132
6,hAldea,40.76952965,0.616218846,64
7,hAlgerri,41.80012155,0.648597542,299
8,hAlgerri2,41.81972281,0.588440568,304
9,hAlguaire,41.74279068,0.535742689,371
10,hAltAneu,42.64664121,0.983623976,2239
11,hAmetllaMar,40.90912966,0.764308144,96
12,hAmposta,40.70575044,0.629030058,2
13,hAngles,41.96012025,2.63176987,150
14,hAnglesola,41.69007955,1.043695096,290
15,hArbucies,41.8400619,2.418776362,956
16,hArres,42.77026914,0.732721176,2243
17,hArtes,41.79243991,1.935570375,278
18,hArtesa,41.91598819,1.045369955,362
19,hAsco,41.19638454,0.512204068,249
20,hBadalona,41.46681186,2.244709968,78
21,hBaells,42.12201452,1.878559556,616
22,hBanyoles,42.11366986,2.791581201,162
23,hBarcelona1,41.38381697,2.167668758,13
24,hBarcelona2,41.41858513,2.123895211,411
25,hBarcelona3,41.37920641,2.105421052,82
26,hBatea,41.08672929,0.318925381,384
27,hBegues,41.28853959,1.908476795,570
28,hBenissanet,41.06278121,0.634691922,32
29,hBerga,42.10721975,1.827465851,1135
30,hBisbalEmporda,41.97742178,3.035354374,30
31,hBisbalPenedes,41.27319906,1.468812853,181
32,hBlancafort,41.43651336,1.16048732,426
33,hBoi,42.04109412,2.119346323,773
34,hBotarell,41.13742466,1.024231866,148
35,hCabanes,42.3063787,2.954828468,31
36,hCabrils,41.51751699,2.377472408,79
37,hCaldes,41.61261678,2.168274635,176
38,hCamarasa,41.91780346,0.8816943,669
39,hCassa,41.87477182,2.927162998,181
40,hCastell,41.80901302,3.031746298,14
41,hCastellbisbal,41.47887927,1.975463497,145
42,hCastelldans,41.52913852,0.752983885,228
43,hCastellnouBages,41.83087346,1.847094854,506
44,hCastellnouSeana,41.65677414,0.951749892,263
45,hCastelloEmpuries,42.23817973,3.095372489,4
46,hCerdanyola,41.48405069,2.12742192,84
47,hCervera,41.6757222,1.295806637,557
48,hClariana,41.953766,1.585108748,692
49,hColomers,42.07686002,2.991162733,18
50,hComa,42.18524458,1.525707241,2296
51,hConstanti,41.17047513,1.169917801,108
52,hCruilles,41.97729208,2.996958251,58
53,hCunit,41.20185982,1.633426797,17
54,hDarniusBoadella,42.34058878,2.833225165,155
55,hDas,42.3878125,1.867668594,1097
56,hDosrius,41.61991606,2.445148514,457
57,hEspluga,41.39315529,1.099095071,440
58,hEspolla,42.38456053,3.007033775,84
59,hEspot,42.53523366,1.050531936,2545
60,hFalset,41.15348076,0.81988532,356
61,hFarners,41.86488356,2.66445218,165
62,hFontrubi,41.43266407,1.624227982,410
63,hFornells,41.91477887,2.819735293,96
64,hGimenells,41.65711122,0.391986377,260
65,hGirona,41.96746381,2.811283666,81
66,hGisclareny,42.26476292,1.762143999,1388
67,hGolmes,41.63635404,0.924519614,260
68,hGranadella,41.36000487,0.667601735,505
69,hGuardiolaBergueda,42.23412339,1.874831612,787
70,hGurb,41.95226574,2.232755939,509
71,hHorta,40.95433376,0.309085875,502
72,hHostaletsPierola,41.53139597,1.807717573,312
73,hIsona,42.13932006,1.038997965,690
74,hLlacuna,41.47945684,1.535278491,589
75,hLladorre,42.70042669,1.272091678,2402
76,hLladurs,42.0884068,1.4284066,775
77,hLleida,41.59989495,0.645541422,161
78,hLleida2,41.68345424,0.460723172,290
79,hMaials,41.35809638,0.483076968,355
80,hMalgrat,41.64710023,2.756537656,2
81,hMargalef,41.2852973,0.753791239,405
82,hMasBarberans,40.71831922,0.399273226,240
83,hMasroig,41.1222639,0.721353503,139
84,hMediona,41.48492084,1.69190182,327
85,hMeranges,42.46740974,1.779421073,2268
86,hMiralcamp,41.60996072,0.875503049,261
87,hMollo,42.37735768,2.414855338,1407
88,hMonistrol,41.59555413,1.836774267,918
89,hMontella,42.28881879,1.713131008,2347
90,hMontmaneu,41.60256359,1.400703282,785
91,hMontmell,41.34235448,1.486292839,548
92,hMuntanyola,41.87812207,2.178025219,810
93,hNulles,41.25121485,1.298390542,240
94,hOdena,41.58527017,1.653000084,331
95,hOliana,42.07674961,1.315217161,492
96,hOliola,41.87705472,1.154231302,446
97,hOlot,42.1881312,2.470967323,433
98,hOrganya,42.21630854,1.331320224,568
99,hOris,42.07405238,2.20886639,625
100,hOs,41.87743163,0.758533247,544
101,hParets,41.56729124,2.226138009,106
102,hParlava,42.02146305,3.060212741,16
