ID,NAME,LAT,LONG,ELEVATION
1,sAger,42.05176672,0.73911934,1481
2,sAitona,41.48697148,0.460210126,97
3,sAlbesa,41.76006848,0.671002705,261
4,sAlcanar,40.5571563,0.523268672,22
5,sAldea,40.76952965,0.616218846,64
6,sAlgerri,41.80012155,0.648597542,299
7,sAlguaire,41.74279068,0.535742689,371
8,sAltAneu,42.64664121,0.983623976,2239
9,sAmetllaMar,40.90912966,0.764308144,96
10,sAmposta,40.70575044,0.629030058,2
11,sAngles,41.96012025,2.63176987,150
12,sArbucies,41.8400619,2.418776362,956
13,sArres,42.77026914,0.732721176,2243
14,sArtesa,41.91598819,1.045369955,362
15,sAsco,41.19638454,0.512204068,249
16,sBadalona,41.46681186,2.244709968,78
17,sBanyoles,42.11366986,2.791581201,162
18,sBarcelona1,41.38381697,2.167668758,13
19,sBarcelona2,41.41858513,2.123895211,411
20,sBarcelona3,41.37920641,2.105421052,82
21,sBatea,41.08672929,0.318925381,384
22,sBegues,41.28853959,1.908476795,570
23,sBenissanet,41.06278121,0.634691922,32
24,sBerga,42.10721975,1.827465851,1135
25,sBisbalEmporda,41.97742178,3.035354374,30
26,sBoi,42.04109412,2.119346323,773
27,sBotarell,41.13742466,1.024231866,148
28,sCabanes,42.3063787,2.954828468,31
29,sCabrils,41.51751699,2.377472408,79
30,sCaldes,41.61261678,2.168274635,176
31,sCamarasa,41.91780346,0.8816943,669
32,sCassa,41.87477182,2.927162998,181
33,sCastellAro,41.80901302,3.031746298,14
34,sCastellbisbal,41.47887927,1.975463497,145
35,sCastellnouBages,41.83087346,1.847094854,506
36,sCastellnouSeana,41.65677414,0.951749892,263
37,sCervera,41.6757222,1.295806637,557
38,sClariana,41.953766,1.585108748,692
39,sComa,42.18524458,1.525707241,2296
40,sConstanti,41.17047513,1.169917801,108
41,sCruilles,41.97729208,2.996958251,58
42,sCunit,41.20185982,1.633426797,17
43,sDas,42.3878125,1.867668594,1097
44,sDosrius,41.61991606,2.445148514,457
45,sEspluga,41.39315529,1.099095071,440
46,sEspot,42.53523366,1.050531936,2545
47,sFalset,41.15348076,0.81988532,356
48,sFarners,41.86488356,2.66445218,165
49,sFontrubi,41.43266407,1.624227982,410
50,sGimenells,41.65711122,0.391986377,260
51,sGirona,41.96746381,2.811283666,81
52,sGolmes,41.63635404,0.924519614,260
