ID,NAME,LAT,LONG,ELEVATION
1,tAger,42.05176672,0.73911934,1481
2,tAitona,41.48697148,0.460210126,97
3,tAlbesa,41.76006848,0.671002705,261
4,tAlcanar,40.5571563,0.523268672,22
5,tAlcarras,41.57167006,0.551220041,132
6,tAldea,40.76952965,0.616218846,64
7,tAlgerri,41.80012155,0.648597542,299
8,tAlgerri2,41.81972281,0.588440568,304
9,tAlguaire,41.74279068,0.535742689,371
10,tAltAneu,42.64664121,0.983623976,2239
11,tAmetllaMar,40.90912966,0.764308144,96
12,tAmposta,40.70575044,0.629030058,2
13,tAngles,41.96012025,2.63176987,150
14,tAnglesola,41.69007955,1.043695096,290
15,tArbucies,41.8400619,2.418776362,956
16,tArres,42.77026914,0.732721176,2243
17,tArtes,41.79243991,1.935570375,278
18,tArtesa,41.91598819,1.045369955,362
19,tAsco,41.19638454,0.512204068,249
20,tBadalona,41.46681186,2.244709968,78
21,tBaells,42.12201452,1.878559556,616
22,tBanyoles,42.11366986,2.791581201,162
23,tBarcelona1,41.38381697,2.167668758,13
24,tBarcelona2,41.41858513,2.123895211,411
25,tBarcelona3,41.37920641,2.105421052,82
26,tBaserca,42.57792599,0.759469481,1409
27,tBatea,41.08672929,0.318925381,384
28,tBegues,41.28853959,1.908476795,570
29,tBenissanet,41.06278121,0.634691922,32
30,tBerga,42.10721975,1.827465851,1135
31,tBisbalEmporda,41.97742178,3.035354374,30
32,tBisbalPenedes,41.27319906,1.468812853,181
33,tBlancafort,41.43651336,1.16048732,426
34,tBoi,42.04109412,2.119346323,773
35,tBotarell,41.13742466,1.024231866,148
36,tCabanes,42.3063787,2.954828468,31
37,tCabrils,41.51751699,2.377472408,79
38,tCaldes,41.61261678,2.168274635,176
39,tCamarasa,41.91780346,0.8816943,669
40,tCassa,41.87477182,2.927162998,181
41,tCastell,41.80901302,3.031746298,14
42,tCastellbisbal,41.47887927,1.975463497,145
43,tCastelldans,41.52913852,0.752983885,228
44,tCastellnouBages,41.83087346,1.847094854,506
45,tCastellnouSeana,41.65677414,0.951749892,263
46,tCastelloEmpuries,42.23817973,3.095372489,4
47,tCerdanyola,41.48405069,2.12742192,84
48,tCervera,41.6757222,1.295806637,557
49,tClariana,41.953766,1.585108748,692
50,tColomers,42.07686002,2.991162733,18
51,tComa,42.18524458,1.525707241,2296
52,tConstanti,41.17047513,1.169917801,108
53,tCruilles,41.97729208,2.996958251,58
54,tCunit,41.20185982,1.633426797,17
55,tDarniusBoadella,42.34058878,2.833225165,155
56,tDas,42.3878125,1.867668594,1097
57,tDosrius,41.61991606,2.445148514,457
58,tEspluga,41.39315529,1.099095071,440
59,tEspolla,42.38456053,3.007033775,84
60,tEspot,42.53523366,1.050531936,2545
61,tFalset,41.15348076,0.81988532,356
62,tFarners,41.86488356,2.66445218,165
63,tFontrubi,41.43266407,1.624227982,410
64,tFornells,41.91477887,2.819735293,96
65,tGimenells,41.65711122,0.391986377,260
66,tGirona,41.96746381,2.811283666,81
67,tGisclareny,42.26476292,1.762143999,1388
68,tGolmes,41.63635404,0.924519614,260
69,tGranadella,41.36000487,0.667601735,505
70,tGuardiolaBergueda,42.23412339,1.874831612,787
71,tGurb,41.95226574,2.232755939,509
72,tHorta,40.95433376,0.309085875,502
