ID,NAME,LAT,LONG,ELEVATION
1,wAger,42.05176672,0.73911934,1481
2,wAitona,41.48697148,0.460210126,97
3,wAlbesa,41.76006848,0.671002705,261
4,wAlcanar,40.5571563,0.523268672,22
5,wAlcarras,41.57167006,0.551220041,132
6,wAldea,40.76952965,0.616218846,64
7,wAlgerri,41.80012155,0.648597542,299
8,wAlgerri2,41.81972281,0.588440568,304
9,wAlguaire,41.74279068,0.535742689,371
10,wAltAneu,42.64664121,0.983623976,2239
11,wAmetllaMar,40.90912966,0.764308144,96
12,wAmposta,40.70575044,0.629030058,2
13,wAngles,41.96012025,2.63176987,150
14,wAnglesola,41.69007955,1.043695096,290
15,wArbucies,41.8400619,2.418776362,956
16,wArres,42.77026914,0.732721176,2243
17,wArtesa,41.91598819,1.045369955,362
18,wAsco,41.19638454,0.512204068,249
19,wBadalona,41.46681186,2.244709968,78
20,wBaells,42.12201452,1.878559556,616
21,wBanyoles,42.11366986,2.791581201,162
22,wBarcelona1,41.38381697,2.167668758,13
23,wBarcelona2,41.41858513,2.123895211,411
24,wBarcelona3,41.37920641,2.105421052,82
25,wBatea,41.08672929,0.318925381,384
26,wBegues,41.28853959,1.908476795,570
27,wBenissanet,41.06278121,0.634691922,32
28,wBerga,42.10721975,1.827465851,1135
29,wBisbalEmporda,41.97742178,3.035354374,30
30,wBoi,42.04109412,2.119346323,773
31,wBotarell,41.13742466,1.024231866,148
32,wCabanes,42.3063787,2.954828468,31
33,wCabrils,41.51751699,2.377472408,79
34,wCaldes,41.61261678,2.168274635,176
35,wCamarasa,41.91780346,0.8816943,669
36,wCassa,41.87477182,2.927162998,181
37,wCastellAro,41.80901302,3.031746298,14
38,wCastellbisbal,41.47887927,1.975463497,145
39,wCastelldans,41.52913852,0.752983885,228
40,wCastellnouBages,41.83087346,1.847094854,506
41,wCastellnouSeana,41.65677414,0.951749892,263
42,wCerdanyola,41.48405069,2.12742192,84
43,wCervera,41.6757222,1.295806637,557
44,wClariana,41.953766,1.585108748,692
45,wColomers,42.07686002,2.991162733,18
46,wComa,42.18524458,1.525707241,2296
47,wConstanti,41.17047513,1.169917801,108
48,wCruilles,41.97729208,2.996958251,58
49,wCunit,41.20185982,1.633426797,17
50,wDarniusBoadella,42.34058878,2.833225165,155
51,wDas,42.3878125,1.867668594,1097
52,wDosrius,41.61991606,2.445148514,457
53,wEspluga,41.39315529,1.099095071,440
54,wEspot,42.53523366,1.050531936,2545
55,wFalset,41.15348076,0.81988532,356
56,wFarners,41.86488356,2.66445218,165
57,wFontrubi,41.43266407,1.624227982,410
58,wGimenells,41.65711122,0.391986377,260
59,wGirona,41.96746381,2.811283666,81
60,wGisclareny,42.26476292,1.762143999,1388
61,wGolmes,41.63635404,0.924519614,260
62,wGranadella,41.36000487,0.667601735,505
63,wGuardiolaBergueda,42.23412339,1.874831612,787
64,wGurb,41.95226574,2.232755939,509
65,wHorta,40.95433376,0.309085875,502
66,wHostaletsPierola,41.53139597,1.807717573,312
67,wIsona,42.13932006,1.038997965,690
68,wLladorre,42.70042669,1.272091678,2402
69,wLladurs,42.0884068,1.4284066,775
70,wLleida,41.59989495,0.645541422,161
71,wLleida2,41.68345424,0.460723172,290
72,wMaials,41.35809638,0.483076968,355
73,wMalgrat,41.64710023,2.756537656,2
74,wMargalef,41.2852973,0.753791239,405
75,wMasBarberans,40.71831922,0.399273226,240
76,wMasroig,41.1222639,0.721353503,139
77,wMediona,41.48492084,1.69190182,327
78,wMeranges,42.46740974,1.779421073,2268
79,wMiralcamp,41.60996072,0.875503049,261
80,wMollo,42.37735768,2.414855338,1407
81,wMonistrol,41.59555413,1.836774267,918
82,wMontella,42.28881879,1.713131008,2347
83,wMontmaneu,41.60256359,1.400703282,785
84,wMontmell,41.34235448,1.486292839,548
85,wMuntanyola,41.87812207,2.178025219,810
86,wOdena,41.58527017,1.653000084,331
87,wOliana,42.07674961,1.315217161,492
88,wOliola,41.87705472,1.154231302,446
89,wOlot,42.1881312,2.470967323,433
90,wOrganya,42.21630854,1.331320224,568
91,wOris,42.07405238,2.20886639,625
92,wOs,41.87743163,0.758533247,544
93,wParets,41.56729124,2.226138009,106
94,wPerello,40.87311862,0.715634565,173
95,wPinos,41.79646293,1.521197,635
96,wPlansSio,41.68823407,1.203677258,429
97,wPoal,41.67299547,0.877358769,223
98,wPoblaSegur,42.23929637,0.964217276,514
99,wPontSuert,42.39771913,0.743757573,824
100,wPontVilomara,41.67532853,1.875608327,284
101,wPortbou,42.43505378,3.166429339,196
102,wPrades,41.31397188,0.997524452,976
103,wQuar,42.08077637,1.96202869,860
104,wQueralbs,42.39862265,2.155214636,1970
105,wQueralt,41.52985522,1.367064185,715
106,wRellinars,41.6327216,1.917432556,425
107,wRibaRoja,41.2439519,0.43277583,61
108,wRoquetes,40.77051482,0.297363439,1099
109,wRoses,42.27053272,3.182523882,25
110,wSabadell,41.56562666,2.069596759,259
111,wSantCarles,40.62679355,0.662328005,1
112,wSantJaume,40.70734383,0.83424695,1
113,wSantLlorenc,41.68135426,2.026600704,529
114,wSantMartiRiucorb,41.57230448,1.088393168,414
115,wSantMartiSarroca,41.37517655,1.63000818,258
116,wSantPau,42.2584787,2.364429353,852
117,wSantPerePescador,42.17665711,3.095740108,3
118,wSantPereRibes,41.27845618,1.804703017,157
119,wSantQuirze,42.09642376,2.214018089,668
120,wSantSadurni,41.43384238,1.794256277,165
121,wSantSalvador,41.67418051,1.767183925,346
122,wSau,41.96862496,2.413554059,425
123,wSeros,41.46043353,0.407130303,98
124,wSeuUrgell,42.3707942,1.432727825,848
125,wTagamanent,41.74765415,2.302826152,1030
126,wTallada,42.0541921,3.062020138,15
127,wTarragona,41.1038862,1.200967403,6
128,wTarrega,41.66727997,1.162939982,435
129,wTorredembarra,41.14662156,1.418496224,2
130,wTorresSegre,41.51918531,0.548047791,214
131,wTorroja,41.21373013,0.809977123,327
132,wUlldecona,40.62717597,0.369949079,211
133,wUlldemolins,41.3200401,0.88561879,685
134,wVallBas,42.14573351,2.454570845,461
135,wVallBoi,42.46495692,0.871486227,2311
136,wVallfogona,41.78438129,0.827961122,237
137,wVallirana,41.38076264,1.932935318,217
138,wVallsValira,42.51753185,1.365020712,2397
139,wVendrell,41.21541451,1.52033382,61
140,wVielha,42.69888849,0.794105045,999
141,wVielha2,42.63850113,0.778762509,2238
142,wViladecans,41.29846393,2.038550692,2
143,wVilafranca,41.36615109,1.728885633,239
144,wVilanovaMeia,41.99544363,1.025554425,592
145,wVilanovaSegria,41.71455288,0.628401915,222
146,wVilanovaValles,41.55050498,2.286530991,98
147,wVilarodona,41.30725303,1.362609678,285
148,wVilassar,41.51171214,2.386767277,44
149,wVinebre,41.18431377,0.594328349,49
150,wVinyols,41.08086743,1.066150831,31
