id,id_nom,Capt_anual,daily_cons
1,Vilanova de la Muga,6273309.952,17187.151
2,E. Boadella-Darnius,3990454.268,10932.751
3,El Gomarell,436868.3903,1196.9
4,El Pasteral,100849010.2,276298.658
5,Conanglell,2468163.092,6762.091
6,Masies de Roda,11639745.16,31889.713
7,Presa de Forat Mic??,765071.0226,2096.085
8,Riera Merl?¿s,406868.6162,1114.709
9,Cardener,685289.9015,1877.507
10,Sant Pon?º,173703.8891,475.901
11,S?¿quia de Manresa,12312220.92,33732.112
12,Llosa del Cavall,1233601.477,3379.73
13,Abrera,15655979.04,42893.093
14,Sant Joan Desp?¡,90132706.93,246938.923
15,Riudecanyes,936247.7771,2565.062
16,Barranc de la Vall,348345.6907,954.372
17,Riera Carme,600000,1643.836
18,SVC,499358,1368.104
19,La Pedrera,48680.29056,133.371
20,Pant?á Seva,155907.9697,427.145
21,Santa Fe,151992.5714,416.418
22,La Baells,1393605.702,3818.098
23,Gironella,336913.8095,923.052
24,Cardona,478740.1575,1311.617
25,Riera Breda,198715.2,544.425
26,Arb??cies,273750,750
27,Verneda,136755.7152,374.673
