activitat_,nom_abocam,Punt2
"RECUPERAUTO PALAFOLLS, SL","ABOCAMENT 3 RECUPERACIÓ PALAFOLLS, SL (DECANTADOR)",331
"ESTACIÓ DE SERVEI TROY PALÀ, SL.","Abocament: ESTACIÓ DE SERVEI TROY PALÀ, SL . Torrent de Malamata (Cardener)",219
AJUNTAMENT D'AVINYÓ - POL. IND. EL SOLER,AJUNTAMENT D'AVINYÓ - POLÍGON INDUSTRIAL EL SOLER (SORTIDA DEPURADORA),255
"CEPAS MUÑOZ, DOMINGO",DOMINGO CEPAS MUÑOZ (SORTIDA SANITÀRIES),306
CONGREGACIÓN RELIGIOSA PUREZA DE MARIA,CONGREGACIÓN RELIGIOSA PUREZA DE MARIA (SORTIDA DEPURADORA),286
AJUNTAMENT DE FOIXÀ,AJUNTAMENT DE FOIXÀ (SORTIDA DEPURADORA),399
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU (SORTIDA 30)",PEATGE SENTIT VALÈNCIA RAMAL SUD B AP-7 VILAFRANCA SUD SORTIDA 30_ACESA (SORTIDA PRETRACTAMENT),72
AENA SME SA - AEROPORT DE REUS,"Aeroport de Reus (Riera de la Boella)_x000D_
Riera de la Boella",21
"CARTONAJES INTERNATIONAL, SL",Abocament 022002000100,119
"COMPAÑIA ESPAÑOLA DISTRIBUIDORA PETROLEOS, SA  (E.S.GASERANS I-II)",E.S. GASERANS II (SORTIDA TRACTAMENT AIGUES POTENC. HIDROCARBURADES I SANITÀRIES),613
"CEDINSA D'ARO CONCES. DE LA GENERALITAT DE CATALUNYA,SA","CEDINSA D'ARO CONCESSIONARIA DE LA GENERALITAT DE CATALUNYA, SA: REC TRIBUTARID E LA RIERA GOTARRA",431
"AIGÜES DE VIC, SA  -ETAP MIRALTER-",AIGÜES DE VIC SA -ETAP DE MIRALTER- (ARQUETA SORTIDA DEPURADORA + PERMEATS CENTRÍFUGA),597
"FRIGORÍFICOS DEL NORDESTE, SA  -NORFRISA-","FRIGORÍFICOS DEL NORDESTE, SA  (SORTIDA DEPURADORA)",425
MÚTUA DE TERRASSA,MÚTUA DE TERRASSA (SORTIDA REFRIGERACIÓ I SOBREEIXIDOR BASSA RECUPERACIÓ),179
FUNDACIÓ PRIVADA ALTEM,FUNDACIÓ PRIVADA ALTEM (SORTIDA AIGÜES SANITÀRIES),526
"VIÑALLONGA BERTRAN, JORDI",JORDI VIÑALLONGA BERTRAN (sortida depuradora) - torrent de Sant Iscle,450
ASSOCIACIO CATALANA DE CASES DE COLONIES,ASSOCIACIO CATALANA DE CASES DE COLONIES,192
"CAMPSA ESTACIONES DE SERVICIO, SA",021998000352 - AB 1,180
"AGUAS DANONE, SA  -MANANTIAL SACALM-","AGUAS DANONE, SA (SORTIDA DEPURADORA EMPRESA AIGÜES RESIDUALS)",447
"TALLERES PENA, SL","ABOC.PENA BIMETALLIC TECNHOLOGY, SL (SORTIDA TRACTAMENT BIOLÒGIC)",345
"GBI SERVEIS, SAU - DIPÒSIT CONTROLAT I CTRM DE LLORET DE MAR","GBI SERVEIS, SA  - ABOCADOR MUNICIPAL (SOBREEIXIDOR BASSA AIGUA TRACTADA)",
"SALVADOR SERRA, SA","SALVADOR SERRA, SA (SORTIDA DECANTADOR 2)",411
"CERAMICA PIEROLA, SL",021998000857 - AB 1,181
JUNTA DE COMPENSACIÓ DEL PLA PARCIAL DEL POL.IND.VALLDERIOLF,ABOC. JUNTA DE COMPENS.PLA PARCIAL POL.IND.VALLDERIOLF - llera,317
"PERXISTÓ, SL","PERXISTÓ, SL_Abocament (Torrent de Gaserans)",353
"EL PONT DE LLIERCA, SL  -CÀMPING MONTAGUT-",CÀMPING MONTAGUT (SORTIDA DEPURADORA EMPRESA),548
"CEMENTOS MOLINS INDUSTRIAL, SA",CEMEX SANT FELIU DE LLOBREGAT ABOCAMENT A BARRANC DEL SARDANET 2,100
"GRAMONA, SA","GRAMONA, SA  (SORTIDA DE LA DEPURADORA)",136
"AIGUA D' ORA, SL","CAMPING AIGUA D'ORA, SL",231
"FRIGORÍFICOS DEL NORDESTE, SA","LETONA, SA (SORTIDA AIGÜES RESIDUALS DEPURADORA)",425
"CADES PENEDES, SA","CADES PENEDES, S.A. (SANITÀRIES I PROCÉS)",84
"FCC CONSTR. I SERVIÀ CANTÓ, SA (UTE VAR. VALLIRANA)",UTE VALLIRANA (SORTIDA TRACTAMENT FÍSICOQUÍMIC),107
"CAN PIPA, SL","CAN PIPA, SL (SANT PERE PESCADOR) 1",509
"SCA HYGIENE PAPER ESPAÑA, SL","Abocament COPERFIL GROUP, SA - riera de Tapioles",49
"PER-PRA, SL","PER-PRA, SL:  RIU DE SALDES",279
"L'ANEC 5 AGLANS, SCP",ÀNEC 5 AGLANS SCP (SORTIDA DEPURADORA COMPACTA),249
FUNDACIÓN PROYECTO Y VIDA,FUNDACION PROYECTO Y VIDA,470
"EMBUTIDOS MONTER, SLU  -PLANTA SERINYÀ-","EMBUTIDOS MONTER, SLU - PLANTA SERINYÀ",560
AJUNTAMENT DE MONT-ROIG DEL CAMP,AJUNTAMENT DE MONT-ROIG DEL CAMP-URBANITZACIO RUSTICAL MONT-ROIG,
AAVV SOL I AIRE (NUCLI URBÀ SOL I AIRE),AAVV SOL I AIRE (SORTIDA TRACTAMENT C FONT RICA 2),285
CLUB CARAVANING AQUA ALBA,ABOC.ENTRADA: CLUB CARAVANING AQUA ALBA,346
