id,name,gis_id,lat,lon,utm_x,utm_y,edar_name,edar_code,ind_id,capt_id,delete
1,pt0008,8,42.25428085,3.072160582,505952.3165,4678011.884,,,,,yes
2,pt0010,10,42.24384026,2.974485877,497895.0672,4676850.421,,,526,,no
3,pt0012,12,42.23795494,2.969209668,497459.5402,4676197.098,,,,,yes
4,pt0014,14,42.29222221,3.008806568,500725.9926,4682222.189,,,,,yes
5,pt0016,16,42.3157291,2.918082731,493249.446,4684835.481,,,523,,no
6,pt0018,18,42.3346321,2.859904985,488458.6491,4686940.633,,,,,yes
7,pt0020,20,42.26822136,2.159428511,430678.7355,4679899.262,,,492,,no
8,pt0022,22,42.34048065,2.833456276,486281.0142,4687593.956,,,524,,no
9,pt0024,24,42.26862575,2.595114444,466609.7119,4679681.488,,,550,,no
10,pt0026,26,42.2995834,2.358910779,447156.1732,4683238.469,EDAR CAMPRODON,ES9170390003010E,503,,no
11,pt0028,28,42.31269234,2.364943343,447664.288,4684690.298,,,506,,no
12,pt0030,30,42.31128777,2.148286389,429807.6815,4684690.298,,,494,,no
13,pt0032,32,42.318482,2.34814843,446285.1192,4685343.621,,,504,,no
14,pt0034,34,42.31685782,2.781547776,481998.3322,4684980.664,,,,,yes
15,pt0036,36,42.313615,2.110380325,426686.4048,4684980.664,,,495,,no
16,pt0038,38,42.28433857,3.094205081,507767.0122,4681351.091,,,514,,no
17,pt0040,40,42.36208477,3.144566226,511904.5186,4689989.474,,,513,,no
18,pt0042,42,42.30068913,3.086303725,507113.7218,4683165.878,,,515,,no
19,pt0044,44,42.40460401,2.876509078,489837.8179,4694707.919,"EDAR JONQUERA, LA",ES9170860002010E,519,,no
20,pt0046,46,42.34561903,2.409556207,451366.2674,4688319.871,,,505,,no
21,pt0048,48,42.25226007,2.862727306,488676.4126,4677794.11,,,527,,no
22,pt0050,50,42.43016365,3.028239671,502322.9249,4697538.985,,,,,yes
23,pt0052,52,42.26271093,2.418148165,452011.0483,4679109.266,,,,,yes
24,pt0054,54,42.24595277,2.65949016,471908.6236,4677140.787,,,,,yes
25,pt0056,56,42.31234988,1.983283765,416210.5951,4684957.501,,,,,yes
26,pt0058,58,42.32643392,2.580203517,465411.6787,4686106.165,,,,,yes
27,pt0060,60,42.36274184,2.858079549,488313.4735,4690062.066,,,,,yes
28,pt0062,62,42.35297025,3.110172085,509073.5932,4688973.194,,,,,yes
29,pt0064,64,42.03521521,3.125406905,510380.1742,4653693.748,,,,,yes
30,pt0066,66,42.05685382,2.964911005,497096.601,4656089.266,,,,,yes
31,pt0068,68,42.06204974,2.904372314,492088.0407,4656669.997,,,579,,no
32,pt0070,70,42.02731461,2.831645593,486063.2507,4652822.65,EDAR GIRONA,ES9170790005010E,414,,no
